code,name,curr_close,line_price,distance_pct,ma_spread,drop_pct
600528,中铁工业,6.96,6.94,0.32,2.08,27.5
300925,法本信息,14.96,14.91,0.32,1.91,45.2
300070,碧水源,3.45,3.44,0.29,1.67,20.14
600282,南钢股份,4.74,4.73,0.29,1.8,21.65
002123,梦网科技,8.24,8.22,0.29,2.1,43.79
601908,京运通,2.97,2.96,0.29,2.24,44.49
600917,重庆燃气,4.9,4.89,0.28,2.12,23.79
002351,漫步者,10.14,10.12,0.23,3.41,25.0
600019,宝钢股份,5.86,5.85,0.21,1.64,22.28
600970,中材国际,7.8,7.78,0.2,1.24,32.82
603809,豪能股份,8.86,8.84,0.19,2.15,42.91
600299,安迪苏,8.57,8.56,0.15,0.63,48.0
603309,维力医疗,11.27,11.25,0.15,2.54,31.36
601881,中国银河,12.43,12.41,0.14,2.88,24.89
000777,中核科技,16.99,16.97,0.14,2.51,45.7
603051,鹿山新材,21.18,21.16,0.11,3.72,29.33
600218,全柴动力,7.71,7.7,0.1,2.72,38.61
603383,顶点软件,29.25,29.22,0.09,3.4,31.18
600635,大众公用,4.72,4.72,0.08,3.41,36.04
603551,奥普科技,9.57,9.56,0.08,2.1,28.21
600987,航民股份,6.52,6.52,0.07,1.55,26.24
600708,光明地产,3.04,3.04,0.07,2.89,35.32
300098,高新兴,4.49,4.49,0.07,1.03,41.54
688009,中国通号,4.96,4.96,0.02,1.13,22.14
601608,中信重工,4.8,4.8,0.02,1.0,43.4
300918,南山智尚,10.57,10.57,0.01,2.72,50.86
688334,西高院,18.4,18.4,0.01,1.07,35.96
300389,艾比森,12.85,12.85,-0.03,3.47,41.59
601200,上海环境,6.96,6.96,-0.03,0.62,24.1
601866,中远海发,2.44,2.44,-0.04,2.04,24.92
000683,博源化工,6.37,6.37,-0.04,2.93,36.3
301263,泰恩康,19.6,19.61,-0.04,3.98,45.14
002967,广电计量,17.67,17.68,-0.04,1.7,33.72
600502,安徽建工,4.46,4.46,-0.06,2.41,27.95
002959,小熊电器,32.42,32.44,-0.07,2.73,31.39
300595,欧普康视,11.04,11.05,-0.1,2.23,36.04
000544,中原环保,7.38,7.39,-0.12,0.52,22.8
002170,芭田股份,11.73,11.74,-0.13,3.51,22.57
600383,金地集团,2.39,2.39,-0.15,2.57,34.52
000799,酒鬼酒,39.38,39.44,-0.15,2.3,35.97
301229,纽泰格,12.31,12.33,-0.15,3.43,49.34
300888,稳健医疗,29.6,29.65,-0.15,2.09,26.22
002096,易普力,9.64,9.65,-0.15,3.57,34.15
301386,未来电器,20.23,20.26,-0.16,2.37,31.66
688389,普门科技,11.18,11.2,-0.17,3.27,23.21
300636,同和药业,6.83,6.84,-0.18,2.98,23.26
300284,苏交科,5.2,5.21,-0.19,2.62,40.37
301109,军信股份,12.97,13.0,-0.24,3.93,29.89
300018,中元股份,11.94,11.97,-0.28,3.41,27.02
600729,重百集团,19.52,19.58,-0.28,2.45,35.15
600507,方大特钢,4.26,4.27,-0.28,1.78,42.35
601628,中国人寿,39.17,39.3,-0.33,2.64,24.56
300092,科新机电,11.76,11.8,-0.33,2.41,42.77
300349,金卡智能,10.28,10.32,-0.38,2.68,51.69
601696,中银证券,12.12,12.17,-0.38,1.66,25.55
600512,腾达建设,2.08,2.09,-0.39,3.42,22.39
601500,通用股份,3.96,3.98,-0.39,2.01,23.99
603035,常熟汽饰,10.76,10.8,-0.4,2.17,36.29
300287,飞利信,3.68,3.7,-0.43,2.07,39.27
600742,富维股份,7.76,7.79,-0.44,3.68,32.4
002302,西部建设,4.78,4.8,-0.45,3.38,29.39
002597,金禾实业,21.07,21.17,-0.48,2.96,27.92
002268,电科网安,14.22,14.29,-0.49,1.32,40.2
688581,安杰思,51.06,51.32,-0.5,2.43,31.33
603656,泰禾智能,17.21,17.31,-0.55,0.66,33.27
688459,哈铁科技,8.08,8.13,-0.56,0.79,20.78
002583,海能达,8.49,8.54,-0.57,3.75,31.81
600406,国电南瑞,22.71,22.84,-0.58,3.71,29.16
002116,中国海诚,7.32,7.36,-0.58,2.15,36.07
002510,天汽模,5.72,5.75,-0.58,2.1,37.07
600375,汉马科技,3.83,3.85,-0.59,2.48,41.53
002984,森麒麟,13.76,13.84,-0.59,2.53,40.41
600779,水井坊,27.19,27.37,-0.67,3.51,40.7
002736,国信证券,10.26,10.33,-0.7,1.65,26.61
000557,西部创业,3.73,3.76,-0.74,2.02,30.28
601360,三六零,8.98,9.05,-0.75,2.56,38.83
601065,江盐集团,6.88,6.93,-0.75,0.71,25.86
600993,马应龙,23.06,23.24,-0.76,2.04,23.59
002178,延华智能,4.69,4.73,-0.8,3.26,36.1
600797,浙大网新,6.96,7.02,-0.81,2.62,41.95
000881,中广核技,6.64,6.69,-0.81,3.13,31.48
001233,海安集团,44.0,44.37,-0.83,0.77,51.26
000709,河钢股份,2.1,2.12,-0.85,1.99,22.79
301332,德尔玛,7.85,7.92,-0.86,0.74,22.12
600960,渤海汽车,4.04,4.08,-0.89,3.52,36.78
600983,惠而浦,7.61,7.68,-0.9,1.84,40.64
002007,华兰生物,13.04,13.16,-0.92,1.5,23.2
000680,山推股份,10.6,10.7,-0.94,2.55,22.91
300926,博俊科技,17.69,17.86,-0.94,1.95,47.79
002728,特一药业,8.97,9.06,-0.95,2.29,38.01
002252,上海莱士,4.92,4.97,-0.96,2.64,25.11
300496,中科创达,59.05,59.63,-0.97,3.16,34.0
002097,山河智能,7.48,7.56,-0.99,1.8,42.68
002091,江苏国泰,7.71,7.79,-1.0,2.15,22.82
688570,天玛智控,14.77,14.92,-1.01,2.14,25.89
600575,淮河能源,3.29,3.32,-1.02,2.18,28.17
600839,四川长虹,6.95,7.02,-1.05,1.31,38.28
000625,长安汽车,7.12,7.2,-1.06,2.79,42.02
600905,三峡能源,3.68,3.72,-1.08,3.55,21.2
003038,鑫铂股份,10.95,11.07,-1.09,2.59,43.61
000612,焦作万方,11.03,11.15,-1.09,2.03,29.29
603053,成都燃气,8.87,8.97,-1.13,1.3,21.71
301559,中集环科,13.09,13.24,-1.13,1.95,32.66
600125,铁龙物流,5.43,5.49,-1.15,1.13,24.37
600499,科达制造,14.59,14.76,-1.15,3.94,29.79
000652,泰达股份,3.49,3.53,-1.18,0.89,29.07
000913,钱江摩托,11.2,11.33,-1.19,2.97,32.81
688366,昊海生科,30.2,30.57,-1.21,3.82,39.36
605259,绿田机械,17.73,17.95,-1.21,1.06,26.61
688075,安旭生物,29.3,29.67,-1.25,1.73,32.88
601368,绿城水务,4.53,4.59,-1.25,3.39,20.25
002204,大连重工,5.17,5.24,-1.27,2.11,37.56
603868,飞科电器,31.69,32.1,-1.27,2.23,29.58
002996,顺博合金,6.2,6.28,-1.29,1.71,32.31
000629,钒钛股份,3.0,3.04,-1.32,3.4,33.18
300059,东方财富,19.15,19.41,-1.33,3.27,25.52
301296,新巨丰,6.46,6.55,-1.33,2.94,29.4
300130,新国都,20.22,20.5,-1.35,3.98,35.0
301215,中汽股份,5.36,5.43,-1.36,2.87,27.76
688566,吉贝尔,25.58,25.94,-1.38,2.15,23.87
600446,金证股份,11.18,11.34,-1.38,3.7,38.84
002010,传化智联,4.58,4.64,-1.39,2.17,38.02
002287,奇正藏药,19.9,20.18,-1.41,1.78,23.43
002060,广东建工,3.18,3.23,-1.44,1.73,26.73
002533,金杯电工,11.26,11.43,-1.45,2.77,32.17
002557,洽洽食品,18.95,19.23,-1.46,2.92,27.09
600822,上海物贸,8.46,8.59,-1.47,3.72,31.11
688579,地纬智能,8.07,8.19,-1.47,3.09,40.18
002090,金智科技,9.3,9.44,-1.48,2.48,31.62
601188,龙江交通,2.95,2.99,-1.48,2.65,20.91
002444,巨星科技,30.55,31.01,-1.48,0.87,22.03
600231,凌钢股份,1.75,1.78,-1.5,3.49,33.21
603987,康德莱,7.57,7.69,-1.53,3.42,20.73
301558,三态股份,6.63,6.73,-1.55,2.85,34.68
600050,中国联通,4.25,4.32,-1.55,1.24,23.15
000708,中信特钢,13.59,13.81,-1.56,2.93,25.9
000825,太钢不锈,3.52,3.58,-1.61,1.46,38.89
603197,保隆科技,30.27,30.77,-1.64,3.5,26.49
600292,电投水电,12.05,12.25,-1.65,3.86,27.67
300185,通裕重工,2.7,2.75,-1.68,1.87,38.36
600787,中储股份,4.59,4.67,-1.69,1.86,23.24
601117,中国化学,7.42,7.55,-1.69,2.55,29.2
600820,隧道股份,5.45,5.55,-1.72,0.79,20.2
601702,华峰铝业,15.75,16.03,-1.76,3.97,43.81
603708,家家悦,9.42,9.59,-1.76,1.61,33.47
300653,正海生物,14.96,15.23,-1.77,2.75,35.18
600168,武汉控股,4.45,4.53,-1.78,3.85,21.24
002139,拓邦股份,9.33,9.5,-1.8,3.68,36.31
688509,正元地信,4.24,4.32,-1.81,2.84,33.75
001308,康冠科技,18.13,18.47,-1.83,3.56,21.75
002688,金河生物,5.28,5.38,-1.85,3.99,24.57
002327,富安娜,6.3,6.42,-1.86,2.54,20.45
300355,蒙草生态,2.93,2.99,-1.87,2.71,35.75
000516,国际医学,4.05,4.13,-1.88,2.79,34.57
300982,苏文电能,14.89,15.18,-1.9,2.72,48.05
300239,东宝生物,5.09,5.19,-1.9,2.26,25.37
603877,太平鸟,12.69,12.94,-1.91,1.6,28.59
603848,好太太,13.56,13.82,-1.92,2.71,36.58
002145,钛能化学,4.28,4.36,-1.93,3.81,26.08
002230,科大讯飞,39.5,40.28,-1.94,3.71,41.48
600308,华泰股份,3.27,3.33,-1.94,2.79,25.34
300743,天地数码,14.78,15.07,-1.94,1.56,38.88
002508,老板电器,16.05,16.37,-1.95,2.87,28.67
300466,赛摩智能,7.41,7.56,-1.98,3.23,35.34
000726,鲁  泰Ａ,5.91,6.03,-1.99,2.34,26.4
605378,野马电池,14.4,14.7,-2.02,3.09,41.22
603312,西典新能,31.99,32.66,-2.04,3.19,40.03
301508,中机认检,24.52,25.03,-2.04,3.96,27.82
600633,浙数文化,10.47,10.69,-2.04,3.14,41.15
002715,登云股份,14.03,14.33,-2.07,3.32,26.08
603059,倍加洁,25.02,25.55,-2.08,1.78,42.39
002148,北纬科技,6.43,6.57,-2.14,3.45,32.81
002004,华邦健康,4.45,4.55,-2.14,3.7,26.81
002035,华帝股份,4.62,4.72,-2.15,3.29,33.43
301011,华立科技,15.28,15.62,-2.17,3.07,48.96
600072,中船科技,9.07,9.27,-2.19,0.93,37.49
000877,天山股份,3.73,3.82,-2.23,0.57,35.69
605011,杭州热电,17.15,17.55,-2.26,2.73,28.09
002191,劲嘉股份,3.64,3.72,-2.27,2.9,23.53
600751,海航科技,3.11,3.18,-2.28,3.49,29.8
002439,启明星辰,13.5,13.82,-2.33,2.53,21.28
600010,包钢股份,2.21,2.26,-2.36,0.78,35.19
603300,海南华铁,4.9,5.02,-2.36,2.27,42.82
600055,万东医疗,10.88,11.14,-2.36,2.07,40.35
300278,华昌达,3.59,3.68,-2.38,3.72,47.67
600173,卧龙新能,6.17,6.32,-2.4,1.83,33.66
600067,冠城新材,2.86,2.93,-2.42,3.36,39.79
002372,伟星新材,8.67,8.89,-2.43,3.42,31.84
688118,普元信息,21.0,21.52,-2.43,3.23,48.26
300365,恒华科技,4.79,4.91,-2.44,3.16,35.01
600157,永泰能源,1.55,1.59,-2.45,1.76,26.19
002044,美年健康,4.61,4.73,-2.46,2.99,48.09
688533,上声电子,20.12,20.63,-2.47,3.55,42.17
002405,四维图新,6.33,6.5,-2.55,2.93,46.04
301078,孩子王,7.29,7.48,-2.58,2.11,39.35
000819,岳阳兴长,12.26,12.59,-2.61,3.48,35.74
600085,同仁堂,24.14,24.79,-2.64,3.28,27.42
002480,新筑股份,5.37,5.52,-2.64,2.61,26.44
600558,大西洋,4.8,4.93,-2.66,1.41,30.94
605333,沪光股份,17.49,17.98,-2.71,2.89,46.69
603210,泰鸿万立,13.56,13.94,-2.71,1.0,33.82
300722,新余国科,22.47,23.1,-2.71,3.47,43.74
301586,佳力奇,30.85,31.71,-2.72,2.55,45.45
603639,海利尔,10.66,10.96,-2.73,2.39,28.7
002312,川发龙蟒,8.49,8.73,-2.75,2.05,40.0
300320,海达股份,8.13,8.36,-2.75,2.46,31.97
601618,中国中冶,2.55,2.62,-2.76,2.4,26.3
601163,三角轮胎,12.44,12.8,-2.78,3.99,27.17
300341,麦克奥迪,12.93,13.3,-2.79,0.86,35.03
001221,悍高集团,39.65,40.79,-2.8,2.54,49.22
002101,广东鸿图,8.73,8.98,-2.82,1.53,32.85
603325,博隆技术,54.4,55.98,-2.83,3.04,40.73
600117,西宁特钢,2.29,2.36,-2.84,3.79,25.16
000809,和展能源,3.37,3.47,-2.85,3.61,29.05
301187,欧圣电气,14.35,14.77,-2.87,2.48,50.74
003037,三和管桩,5.82,5.99,-2.88,3.04,35.26
301491,汉桑科技,38.84,40.0,-2.89,1.39,36.93
301206,三元生物,23.41,24.11,-2.92,1.61,23.2
